Size,Fitness,Time
1,1.1451746217971959e-09,25.46760392189026
1,5.715037332265638e-09,26.553513288497925
1,5.4356519285647664e-12,27.458354234695435
1,1.2359233636516365e-09,26.551976203918457
1,9.517808763348512e-10,26.544838905334473
1,5.9370393046265235e-09,26.256847858428955
1,2.092110307216899e-08,25.639387130737305
1,4.4168348978246286e-09,25.37125062942505
1,9.608527307136683e-10,25.621423721313477
1,2.3289281614324864e-10,26.33979558944702
2,0.0,31.72600269317627
2,6.604494728890131e-12,32.412423610687256
2,1.695532603207539e-11,31.88203740119934
2,5.311306949806749e-13,31.560734748840332
2,1.545430450278218e-13,31.043524503707886
2,1.2667200621763186e-11,30.803680896759033
2,1.942659366704902e-10,30.847195625305176
2,4.291470290240795e-09,30.74453043937683
2,4.4274806043631543e-10,32.00128650665283
2,0.0,31.80866527557373
4,9.214251583955502e-07,39.70030403137207
4,3.1682745316174987e-09,42.1671838760376
4,1.2172556296263792e-09,41.06954312324524
4,3.5427362732320944e-07,39.850212812423706
4,1.0658141036401503e-14,41.08655834197998
4,1.1896972296199237e-10,41.77121067047119
4,1.3024558320751112e-07,40.29135298728943
4,7.16049441962241e-12,41.06589150428772
4,3.424806749308118e-08,41.56014585494995
4,7.57849605292904e-09,41.28640794754028
8,7.64248360596298e-07,55.09972810745239
8,1.003666328713848e-06,56.9760000705719
8,4.0431466175050446e-08,54.657965660095215
8,5.356138862211424e-06,55.8452525138855
8,1.8714300757949331e-06,54.02636528015137
8,4.5373459887088075e-06,56.45390343666077
8,3.943065083333863e-06,56.2519268989563
8,3.827885212359661e-06,57.22002935409546
8,8.786836342977722e-07,57.06400108337402
8,4.66335644944138e-06,55.09446406364441
16,2.4125001448993544e-05,86.55416679382324
16,2.2258381344286704e-05,84.8158347606659
16,1.6727222517332052e-05,85.11814880371094
16,4.119275819647328e-05,89.18774795532227
16,1.6437769225774446e-05,90.83028411865234
16,0.0001212538540951158,88.08437824249268
16,3.726863336694919e-05,89.9944236278534
16,2.3536745057839425e-05,93.76541137695312
16,1.8202768934827418e-05,88.08248662948608
16,1.1734537320506888e-05,88.06469798088074
32,0.000512626540917438,148.73633480072021
32,0.0001310181410083544,152.82763838768005
32,0.0002695582538621011,151.37231278419495
32,0.0003908259361917743,149.91556978225708
32,0.00026490077030061343,146.08207893371582
32,0.0005518904244539158,145.0306339263916
32,0.0006346231396250346,146.43862104415894
32,0.00020576711236408585,147.52415919303894
32,0.00026253619063432154,146.57749724388123
32,0.00040956819377413467,148.54755854606628
64,0.0064433168483670755,270.2691285610199
64,0.00671356402759038,269.7857611179352
64,0.009229836833888783,269.5740809440613
64,0.006154381014763288,269.83336353302
64,0.005725581303247296,270.2707827091217
64,0.0073226515438928885,269.56657886505127
64,0.005751731054626674,270.93096232414246
64,0.008011958688555865,272.12007665634155
64,0.004922912771910148,270.97842144966125
64,0.009631883359080717,270.22967433929443
128,1.3000543007414809,521.6326832771301
128,3.2650335136296587,520.928323507309
128,0.22009072846323186,519.8036246299744
128,0.350623300142642,519.6811943054199
128,0.2480923031829949,521.0732190608978
128,0.337090633153867,520.7121341228485
128,0.28507806181463735,520.9629826545715
128,1.2098570910835438,518.7141921520233
128,0.3366335423573954,522.1554439067841
128,0.3234176800042299,518.6187024116516
